codice,polo,dist_km,durata_min
009024,009002,9.96,20.0
009025,009002,7.08,11.3
009026,009018,6.87,11.1
009027,009015,11.08,16.3
009028,009002,17.44,24.4
009029,009029,,
009030,009002,9.41,15.3
009031,009034,8.13,20.5
009032,009015,18.7,24.0
009033,009006,5.89,15.6
009034,009034,,
009035,009029,19.42,29.8
009036,009018,12.46,17.7
009037,004066,17.63,22.9
009038,009018,11.46,16.1
009039,009056,28.12,31.8
009040,009018,22.02,33.2
009041,009002,22.71,33.8
009042,009029,14.75,24.8
009043,009002,18.47,23.7
009044,009029,13.25,23.3
009045,009002,9.03,14.9
009046,009018,22.64,29.6
009047,009018,9.39,18.1
009048,004073,22.73,23.0
009049,009034,7.43,18.5
009050,009018,5.15,7.9
009051,009056,21.4,23.2
009052,009056,19.4,26.1
009053,009029,15.58,22.6
009054,009018,15.19,24.7
009055,006121,31.1,40.0
009056,009056,,
009057,009029,21.49,27.3
009058,010001,25.04,31.3
009059,009006,8.04,9.3
009060,009006,16.68,18.5
009061,009034,9.82,15.6
009062,009029,12.67,17.1
009063,006121,27.61,33.3
009064,009056,18.06,26.6
009065,010001,20.18,24.5
009066,009002,15.54,23.6
009067,009029,15.17,23.2
009068,009002,5.95,10.3
009069,009002,8.35,13.8
010001,010001,,
010002,010047,5.56,7.5
010003,010047,21.66,32.5
010004,010047,19.5,19.0
010005,010053,28.57,37.5
010006,010049,8.75,14.5
010007,010007,,
010008,006121,17.52,25.5
010009,010025,14.14,21.5
010010,010015,9.36,13.8
010011,010059,9.67,13.6
010012,010049,14.36,20.7
010013,010059,12.87,16.8
010014,010025,16.86,25.4
010015,010015,,
010016,010053,19.33,23.7
010017,010001,9.33,13.7
010018,010015,8.21,11.3
010019,010053,18.07,21.9
010020,010049,14.43,20.8
010021,010047,38.58,43.1
010022,010053,57.08,65.0
010023,010053,25.46,28.9
010024,010053,52.27,56.7
010025,010025,,
010026,033005,42.95,58.0
010027,010049,7.03,11.8
010028,010015,8.9,14.4
010029,010015,4.98,7.5
010030,010053,24.73,28.9
010031,010047,22.3,25.4
010032,006121,23.33,24.7
010033,010001,23.47,28.4
010034,010053,18.65,26.1
010035,010049,14.37,24.5
010036,010047,24.78,33.6
010037,010059,17.39,25.1
010038,010053,45.8,51.9
010039,010049,20.67,29.3
012023,012073,5.13,8.5
012024,012015,9.56,14.5
012025,012073,3.96,8.4
012026,012026,,
012027,012092,14.1,23.6
012029,012070,6.85,12.4
012030,012015,8.71,17.8
012031,012087,7.58,12.8
012032,012070,5.72,8.4
012033,012073,7.94,13.6
012034,015105,4.3,8.5
012035,012073,5.63,11.5
012036,012123,12.9,18.9
012037,012087,10.2,19.2
012038,012133,4.38,8.8
012039,012070,5.03,10.2
012040,012070,3.68,7.4
012041,012092,10.28,18.2
012042,012042,,
012043,012072,13.28,21.4
012044,012127,6.68,12.9
012045,012087,11.67,25.6
012046,012073,5.06,9.3
012047,012073,5.68,8.5
012048,012070,4.6,10.1
012049,012072,10.49,16.8
012050,013133,10.72,12.3
012051,012087,7.84,13.5
012052,012015,7.48,11.8
012053,012072,4.73,8.3
012054,012120,7.41,13.1
012055,012072,3.59,6.3
012056,012092,7.4,14.1
012057,012073,8.06,15.5
012058,012015,7.83,15.0
012059,012092,14.63,23.1
012060,012092,12.56,20.0
012061,012092,15.45,23.9
012062,012072,13.93,20.8
012063,012072,10.01,16.5
012064,012073,7.63,14.9
012065,012092,7.69,15.8
012066,012072,20.54,34.2
012067,012070,8.42,11.8
012068,012070,8.79,14.1
012069,012092,11.09,19.2
012070,012070,,
012071,012073,7.48,12.1
012072,012072,,
